,Session,Site,Date_setup,Date_retr,Problem1_from,Problem1_to,ghm
1,Spring2016,1A,5/12/2016,6/22/2016,NA,NA,0.054539632
2,Spring2016,1B,5/3/2016,6/22/2016,NA,NA,0.341293046
3,Spring2016,1C,5/3/2016,7/8/2016,NA,NA,0.032375948
4,Spring2016,1D,5/3/2016,6/24/2016,NA,NA,0.161227607
5,Spring2016,1E,5/3/2016,6/22/2016,NA,NA,0.249328662
6,Spring2016,2A,5/12/2016,6/23/2016,NA,NA,0.048614763
7,Spring2016,2B,5/11/2016,6/28/2016,6/4/2016,6/28/2016,0.021180995
8,Spring2016,2C,5/3/2016,7/8/2016,NA,NA,0.024711033
9,Spring2016,2D,5/5/2016,6/28/2016,NA,NA,0.024474249
10,Spring2016,2E,5/5/2016,7/9/2016,NA,NA,0.01692409
11,Spring2016,3A,5/11/2016,6/28/2016,NA,NA,0.024502751
12,Spring2016,3B,5/10/2016,6/23/2016,NA,NA,0.023450378
13,Spring2016,3C,5/10/2016,6/28/2016,NA,NA,0.03096634
14,Spring2016,3D,5/9/2016,7/14/2016,NA,NA,0.025809041
15,Spring2016,3E,5/9/2016,7/14/2016,NA,NA,0.022140801
16,Spring2016,4A,5/12/2016,6/23/2016,NA,NA,0.023708642
17,Spring2016,4B,5/9/2016,7/7/2016,NA,NA,0.026148859
18,Spring2016,4C,5/9/2016,7/7/2016,5/18/2016,7/7/2016,0.040771377
19,Spring2016,4D,5/5/2016,7/7/2016,NA,NA,0.029684895
20,Spring2016,4E,5/9/2016,7/7/2016,7/4/2016,7/7/2016,0.026299582
21,Spring2016,5A,5/6/2016,6/27/2016,NA,NA,0.091197924
22,Spring2016,5B,5/5/2016,6/27/2016,NA,NA,0.029433448
23,Spring2016,5C,5/11/2016,7/14/2016,NA,NA,0.028189953
24,Spring2016,5D,5/9/2016,6/27/2016,NA,NA,0.014928796
25,Spring2016,5E,5/9/2016,6/27/2016,NA,NA,0.024910068
26,Spring2016,6A,5/3/2016,7/8/2016,NA,NA,0.059849416
27,Spring2016,6B,5/3/2016,6/24/2016,NA,NA,0.073148594
28,Spring2016,6C,5/11/2016,6/24/2016,6/5/2016,6/24/2016,0.090704319
29,Spring2016,6D,5/3/2016,6/24/2016,NA,NA,0.029944255
30,Spring2016,6E,5/3/2016,6/24/2016,NA,NA,0.071945162
31,Spring2016,7A,5/4/2016,6/28/2016,NA,NA,0.027527054
32,Spring2016,7B,5/4/2016,6/28/2016,5/21/2016,6/28/2016,0.024680611
33,Spring2016,7C,5/3/2016,6/28/2016,6/20/2016,6/28/2016,0.017441068
34,Spring2016,7D,5/12/2016,6/28/2016,NA,NA,0.043624403
35,Spring2016,7E,5/4/2016,6/28/2016,NA,NA,0.019684311
36,Spring2016,8A,5/12/2016,6/28/2016,NA,NA,0.058848885
37,Spring2016,8B,5/4/2016,6/22/2016,NA,NA,0.07682189
38,Spring2016,8C,5/12/2016,6/24/2016,NA,NA,0.054668195
39,Spring2016,8D,5/4/2016,6/28/2016,5/31/2016,6/28/2016,0.092550699
40,Spring2016,8E,5/4/2016,6/28/2016,NA,NA,0.049025573
41,Spring2016,9A,5/5/2016,7/7/2016,NA,NA,0.037124379
42,Spring2016,9B,5/6/2016,7/14/2016,6/28/2016,7/14/2016,0.017378222
43,Spring2016,9C,5/4/2016,7/8/2016,NA,NA,0.065057985
44,Spring2016,9D,5/13/2016,7/14/2016,6/25/2016,7/14/2016,0.015051369
45,Spring2016,9E,5/11/2016,7/9/2016,NA,NA,0.028887934
46,Spring2016,10A,5/6/2016,6/28/2016,NA,NA,0.034177664
47,Spring2016,10B,5/12/2016,6/30/2016,NA,NA,0.031022372
48,Spring2016,10C,5/6/2016,7/19/2016,NA,NA,0.017514941
49,Spring2016,10D,5/12/2016,6/28/2016,NA,NA,0.021564274
50,Spring2016,10E,5/5/2016,6/30/2016,NA,NA,0.029834186
51,Spring2016,11A,5/5/2016,6/27/2016,5/11/2016,6/27/2016,0.043543863
52,Spring2016,11B,5/3/2016,6/23/2016,NA,NA,0.064349919
53,Spring2016,11C,5/5/2016,6/27/2016,5/17/2016,6/27/2016,0.054601781
54,Spring2016,11D,5/4/2016,6/23/2016,NA,NA,0.075870855
55,Spring2016,11E,5/5/2016,6/27/2016,NA,NA,0.206229335
56,Spring2016,12A,5/6/2016,6/24/2016,NA,NA,0.051039612
57,Spring2016,12B,5/3/2016,6/22/2016,NA,NA,0.060619423
58,Spring2016,12C,5/4/2016,6/23/2016,NA,NA,0.041847896
59,Spring2016,12D,5/9/2016,6/24/2016,NA,NA,0.033449415
60,Spring2016,12E,5/9/2016,6/24/2016,NA,NA,0.051377078
61,Spring2016,13A,5/3/2016,6/22/2016,5/6/2016,6/22/2016,0.032113177
62,Spring2016,13B,5/6/2016,6/24/2016,NA,NA,0.086332597
63,Spring2016,13C,5/9/2016,6/24/2016,NA,NA,0.048615593
64,Spring2016,13D,5/3/2016,6/24/2016,NA,NA,0.059392231
65,Spring2016,13E,5/3/2016,6/22/2016,NA,NA,0.040178258
66,Spring2016,14A,5/6/2016,6/24/2016,NA,NA,0.057247293
67,Spring2016,14B,5/4/2016,6/23/2016,NA,NA,0.03590035
68,Spring2016,14C,5/6/2016,6/23/2016,NA,NA,0.075067051
69,Spring2016,14D,5/5/2016,6/23/2016,NA,NA,0.023983657
70,Spring2016,14E,5/6/2016,6/24/2016,NA,NA,0.059479568
71,Spring2016,15A,5/4/2016,6/24/2016,NA,NA,0.055685986
72,Spring2016,15B,5/5/2016,6/23/2016,NA,NA,0.063269562
73,Spring2016,15C,5/4/2016,6/23/2016,NA,NA,0.097687579
74,Spring2016,15D,5/5/2016,6/24/2016,NA,NA,0.053074308
75,Spring2016,15E,5/12/2016,6/23/2016,NA,NA,0.069020829
76,Spring2016,16A,5/5/2016,6/27/2016,NA,NA,0.056981492
77,Spring2016,16B,5/4/2016,6/23/2016,5/6/2016,6/23/2016,0.047708115
78,Spring2016,16C,5/6/2016,6/27/2016,5/6/2016,6/27/2016,0.090133171
79,Spring2016,16D,5/4/2016,6/23/2016,6/22/2016,6/23/2016,0.036673646
80,Spring2016,16E,5/6/2016,6/27/2016,NA,NA,0.046567581
81,Spring2016,17A,5/4/2016,6/23/2016,NA,NA,0.043841516
82,Spring2016,17B,5/9/2016,6/24/2016,NA,NA,0.117053898
83,Spring2016,17C,5/5/2016,6/23/2016,NA,NA,0.058425845
84,Spring2016,17D,5/9/2016,6/24/2016,NA,NA,0.037627535
85,Spring2016,17E,5/6/2016,6/24/2016,NA,NA,0.033106951
86,Spring2016,18A,5/10/2016,6/24/2016,NA,NA,0.043737535
87,Spring2016,18B,5/11/2016,6/22/2016,NA,NA,0.083003268
88,Spring2016,18C,5/10/2016,6/24/2016,NA,NA,0.079504171
89,Spring2016,18D,5/11/2016,6/22/2016,NA,NA,0.240523472
90,Spring2016,18E,5/3/2016,6/22/2016,NA,NA,0.08818589
91,Spring2016,19A,5/3/2016,6/22/2016,NA,NA,0.205373844
92,Spring2016,19B,5/3/2016,6/23/2016,5/3/2016,6/23/2016,0.052752015
93,Spring2016,19C,5/5/2016,6/22/2016,NA,NA,0.217294088
94,Spring2016,19D,5/5/2016,6/22/2016,NA,NA,0.133894838
95,Spring2016,19E,5/4/2016,6/22/2016,NA,NA,0.092340269
96,Spring2016,20A,5/3/2016,6/22/2016,NA,NA,0.188632578
97,Spring2016,20B,5/12/2016,6/23/2016,NA,NA,0.134792185
98,Spring2016,20C,5/13/2016,6/23/2016,5/28/2016,6/23/2016,0.283946343
99,Spring2016,20D,5/13/2016,6/23/2016,5/14/2016,6/23/2016,0.173188391
100,Spring2016,20E,5/4/2016,6/23/2016,NA,NA,0.240841945
101,Fall2016,1A,9/8/2016,10/28/2016,9/8/2016,10/28/2016,0.054539632
102,Fall2016,1B,9/8/2016,10/28/2016,NA,NA,0.341293046
103,Fall2016,1C,9/8/2016,10/28/2016,NA,NA,0.032375948
104,Fall2016,1D,9/2/2016,10/27/2016,NA,NA,0.161227607
105,Fall2016,1E,9/8/2016,10/28/2016,NA,NA,0.249328662
106,Fall2016,2A,9/10/2016,10/28/2016,NA,NA,0.048614763
107,Fall2016,2B,9/10/2016,10/29/2016,NA,NA,0.021180995
108,Fall2016,2C,9/1/2016,10/28/2016,NA,NA,0.024711033
109,Fall2016,2D,9/2/2016,10/28/2016,NA,NA,0.024474249
110,Fall2016,2E,9/2/2016,10/31/2016,NA,NA,0.01692409
111,Fall2016,3A,9/1/2016,10/28/2016,NA,NA,0.024502751
112,Fall2016,3B,9/10/2016,10/31/2016,9/25/2016,10/31/2016,0.023450378
113,Fall2016,3C,9/1/2016,10/29/2016,NA,NA,0.03096634
114,Fall2016,3D,9/10/2016,10/31/2016,NA,NA,0.025809041
115,Fall2016,3E,9/10/2016,10/31/2016,NA,NA,0.022140801
116,Fall2016,4A,9/10/2016,10/31/2016,NA,NA,0.023708642
117,Fall2016,4B,9/8/2016,10/31/2016,NA,NA,0.026148859
118,Fall2016,4C,9/7/2016,10/31/2016,NA,NA,0.040771377
119,Fall2016,4D,9/7/2016,10/28/2016,NA,NA,0.029684895
120,Fall2016,4E,9/9/2016,10/31/2016,NA,NA,0.026299582
121,Fall2016,5A,9/1/2016,10/27/2016,NA,NA,0.091197924
122,Fall2016,5B,9/1/2016,10/27/2016,NA,NA,0.029433448
123,Fall2016,5C,9/1/2016,10/27/2016,NA,NA,0.028189953
124,Fall2016,5D,9/1/2016,10/27/2016,NA,NA,0.014928796
125,Fall2016,5E,9/1/2016,10/27/2016,NA,NA,0.024910068
126,Fall2016,6A,9/8/2016,10/28/2016,9/22/2016,10/28/2016,0.059849416
127,Fall2016,6B,9/2/2016,10/27/2016,NA,NA,0.075673729
128,Fall2016,6C,9/9/2016,10/27/2016,NA,NA,0.090704319
129,Fall2016,6D,9/9/2016,10/27/2016,NA,NA,0.029944255
130,Fall2016,6E,9/8/2016,10/27/2016,NA,NA,0.071945162
131,Fall2016,7A,9/9/2016,10/27/2016,NA,NA,0.027527054
132,Fall2016,7B,9/9/2016,10/27/2016,NA,NA,0.024680611
133,Fall2016,7C,9/10/2016,10/27/2016,NA,NA,0.017441068
134,Fall2016,7D,9/9/2016,10/27/2016,NA,NA,0.043624403
135,Fall2016,7E,9/9/2016,10/27/2016,NA,NA,0.019684311
136,Fall2016,8A,9/2/2016,10/27/2016,NA,NA,0.058848885
137,Fall2016,8B,9/8/2016,10/31/2016,NA,NA,0.07682189
138,Fall2016,8C,9/2/2016,10/30/2016,NA,NA,0.054668195
139,Fall2016,8D,9/8/2016,10/31/2016,NA,NA,0.092550699
140,Fall2016,8E,9/2/2016,10/27/2016,NA,NA,0.049025573
141,Fall2016,9A,9/7/2016,10/31/2016,NA,NA,0.037124379
142,Fall2016,9B,9/9/2016,10/28/2016,NA,NA,0.017378222
143,Fall2016,9C,9/8/2016,10/31/2016,NA,NA,0.065057985
144,Fall2016,9D,9/9/2016,10/26/2016,NA,NA,0.015051369
145,Fall2016,9E,9/9/2016,10/28/2016,NA,NA,0.030240232
146,Fall2016,10A,9/2/2016,10/27/2016,NA,NA,0.034177664
147,Fall2016,10B,9/9/2016,11/2/2016,NA,NA,0.031022372
148,Fall2016,10C,9/7/2016,10/28/2016,NA,NA,0.017514941
149,Fall2016,10D,9/9/2016,10/26/2016,NA,NA,0.021564274
150,Fall2016,10E,9/2/2016,10/28/2016,NA,NA,0.029834186
151,Fall2016,11A,9/13/2016,11/1/2016,NA,NA,0.04342175
152,Fall2016,11B,9/9/2016,10/30/2016,9/13/2016,10/30/2016,0.064349919
153,Fall2016,11C,9/11/2016,10/30/2016,9/16/2016,10/30/2016,0.054601781
154,Fall2016,11D,9/1/2016,10/30/2016,NA,NA,0.075870855
155,Fall2016,11E,9/10/2016,10/30/2016,NA,NA,0.206229335
156,Fall2016,12A,9/9/2016,10/28/2016,NA,NA,0.051039612
157,Fall2016,12B,9/10/2016,10/28/2016,NA,NA,0.060619423
158,Fall2016,12C,9/1/2016,10/25/2016,NA,NA,0.041847896
159,Fall2016,12D,9/7/2016,10/31/2016,NA,NA,0.033449415
160,Fall2016,12E,9/9/2016,10/28/2016,NA,NA,0.051377078
161,Fall2016,13A,9/9/2016,10/28/2016,NA,NA,0.032113177
162,Fall2016,13B,9/8/2016,10/25/2016,NA,NA,0.086332597
163,Fall2016,13C,9/7/2016,10/31/2016,NA,NA,0.048615593
164,Fall2016,13D,9/8/2016,10/25/2016,NA,NA,0.059392231
165,Fall2016,13E,9/9/2016,10/28/2016,NA,NA,0.040178258
166,Fall2016,14A,9/8/2016,10/25/2016,NA,NA,0.057247293
167,Fall2016,14B,9/8/2016,10/25/2016,NA,NA,0.03590035
168,Fall2016,14C,9/8/2016,10/25/2016,NA,NA,0.075067051
169,Fall2016,14D,9/8/2016,10/25/2016,NA,NA,0.023983657
170,Fall2016,14E,9/8/2016,10/25/2016,NA,NA,0.059479568
171,Fall2016,15A,9/8/2016,10/25/2016,NA,NA,0.055685986
172,Fall2016,15B,9/9/2016,10/26/2016,NA,NA,0.063269562
173,Fall2016,15C,9/9/2016,10/25/2016,NA,NA,0.097687579
174,Fall2016,15D,9/8/2016,10/25/2016,NA,NA,0.053074308
175,Fall2016,15E,9/8/2016,10/25/2016,NA,NA,0.069020829
176,Fall2016,16A,9/11/2016,10/31/2016,NA,NA,0.056981492
177,Fall2016,16B,9/1/2016,10/25/2016,NA,NA,0.047708115
178,Fall2016,16C,9/12/2016,11/1/2016,NA,NA,0.089943147
179,Fall2016,16D,9/1/2016,10/25/2016,NA,NA,0.036673646
180,Fall2016,16E,9/11/2016,10/30/2016,NA,NA,0.046567581
181,Fall2016,17A,9/11/2016,10/25/2016,NA,NA,0.043841516
182,Fall2016,17B,9/7/2016,10/24/2016,NA,NA,0.117053898
183,Fall2016,17C,9/1/2016,10/25/2016,NA,NA,0.058425845
184,Fall2016,17D,9/7/2016,10/29/2016,NA,NA,0.037627535
185,Fall2016,17E,9/12/2016,10/29/2016,NA,NA,0.033106951
186,Fall2016,18A,9/7/2016,10/24/2016,NA,NA,0.043737535
187,Fall2016,18B,9/6/2016,10/24/2016,NA,NA,0.083003268
188,Fall2016,18C,9/7/2016,10/24/2016,10/6/2016,10/24/2016,0.079504171
189,Fall2016,18D,9/6/2016,10/24/2016,NA,NA,0.240523472
190,Fall2016,18E,9/6/2016,10/24/2016,NA,NA,0.086540686
191,Fall2016,19A,9/6/2016,10/24/2016,NA,NA,0.205373844
192,Fall2016,19B,9/7/2016,10/24/2016,NA,NA,0.027538554
193,Fall2016,19C,9/6/2016,10/24/2016,NA,NA,0.217294088
194,Fall2016,19D,9/7/2016,10/24/2016,NA,NA,0.133894838
195,Fall2016,19E,9/7/2016,10/24/2016,NA,NA,0.092340269
196,Fall2016,20A,9/7/2016,10/24/2016,NA,NA,0.188632578
197,Fall2016,20B,9/7/2016,10/25/2016,NA,NA,0.134792185
198,Fall2016,20C,9/7/2016,10/24/2016,9/24/2016,10/24/2016,0.283946343
199,Fall2016,20D,9/7/2016,10/25/2016,NA,NA,0.173188391
200,Fall2016,20E,9/7/2016,10/25/2016,NA,NA,0.240841945
201,Spring2017,1A,5/17/2017,7/14/2017,NA,NA,0.054539632
202,Spring2017,1B,5/17/2017,7/14/2017,NA,NA,0.334875671
203,Spring2017,1C,5/18/2017,7/15/2017,NA,NA,0.032375948
204,Spring2017,1D,5/17/2017,7/12/2017,NA,NA,0.161227607
205,Spring2017,1E,5/17/2017,7/14/2017,NA,NA,0.249328662
206,Spring2017,2A,5/19/2017,7/15/2017,5/25/2017,7/15/2017,0.048614763
207,Spring2017,2B,5/19/2017,7/11/2017,NA,NA,0.021180995
208,Spring2017,2C,5/17/2017,7/12/2017,7/6/2017,7/12/2017,0.024711033
209,Spring2017,2D,5/17/2017,7/11/2017,NA,NA,0.024474249
210,Spring2017,2E,5/17/2017,7/12/2017,NA,NA,0.01692409
211,Spring2017,3A,5/17/2017,7/11/2017,NA,NA,0.024502751
212,Spring2017,3B,5/18/2017,7/13/2017,5/20/2017,7/13/2017,0.023450378
213,Spring2017,3C,5/19/2017,7/15/2017,6/11/2017,7/15/2017,0.03096634
214,Spring2017,3D,5/18/2017,7/13/2017,NA,NA,0.025809041
215,Spring2017,3E,5/18/2017,7/13/2017,NA,NA,0.022140801
216,Spring2017,4A,5/19/2017,7/14/2017,NA,NA,0.023789718
217,Spring2017,4B,5/18/2017,7/13/2017,NA,NA,0.026148859
218,Spring2017,4C,5/22/2017,7/15/2017,6/5/2017,7/15/2017,0.040771377
219,Spring2017,4D,5/21/2017,7/14/2017,NA,NA,0.029684895
220,Spring2017,4E,5/18/2017,7/13/2017,NA,NA,0.026299582
221,Spring2017,5A,5/21/2017,7/14/2017,NA,NA,0.091197924
222,Spring2017,5B,5/21/2017,7/14/2017,5/23/2017,7/14/2017,0.029433448
223,Spring2017,5C,5/21/2017,7/14/2017,NA,NA,0.028189953
224,Spring2017,5D,5/21/2017,7/14/2017,NA,NA,0.014928796
225,Spring2017,5E,5/21/2017,7/14/2017,NA,NA,0.024910068
226,Spring2017,6A,5/18/2017,7/13/2017,5/29/2017,7/13/2017,0.059849416
227,Spring2017,6B,5/17/2017,7/12/2017,NA,NA,0.075673729
228,Spring2017,6C,5/18/2017,7/12/2017,6/4/2017,7/12/2017,0.090704319
229,Spring2017,6D,5/18/2017,7/12/2017,6/10/2017,7/12/2017,0.029944255
230,Spring2017,6E,5/18/2017,7/12/2017,NA,NA,0.071945162
231,Spring2017,7A,5/16/2017,7/11/2017,NA,NA,0.027527054
232,Spring2017,7B,5/16/2017,7/11/2017,NA,NA,0.024680611
233,Spring2017,7C,5/18/2017,7/12/2017,NA,NA,0.017441068
234,Spring2017,7D,5/16/2017,7/11/2017,NA,NA,0.043624403
235,Spring2017,7E,5/16/2017,7/11/2017,NA,NA,0.019609745
236,Spring2017,8A,5/16/2017,7/12/2017,NA,NA,0.058848885
237,Spring2017,8B,5/16/2017,7/11/2017,NA,NA,0.07682189
238,Spring2017,8C,5/22/2017,7/15/2017,NA,NA,0.054668195
239,Spring2017,8D,5/18/2017,7/14/2017,7/8/2017,7/14/2017,0.092550699
240,Spring2017,8E,5/16/2017,7/11/2017,NA,NA,0.049025573
241,Spring2017,9A,5/20/2017,7/13/2017,NA,NA,0.040152382
242,Spring2017,9B,5/20/2017,7/13/2017,7/12/2017,7/13/2017,0.018305946
243,Spring2017,9C,5/17/2017,7/13/2017,NA,NA,0.065057985
244,Spring2017,9D,5/24/2017,7/13/2017,NA,NA,0.015051369
245,Spring2017,9E,5/20/2017,7/13/2017,6/22/2017,7/13/2017,0.030240232
246,Spring2017,10A,5/22/2017,7/14/2017,NA,NA,0.034177664
247,Spring2017,10B,5/18/2017,7/14/2017,NA,NA,0.031022372
248,Spring2017,10C,5/23/2017,7/14/2017,NA,NA,0.017514941
249,Spring2017,10D,5/19/2017,7/15/2017,NA,NA,0.021564274
250,Spring2017,10E,5/22/2017,7/14/2017,NA,NA,0.029832314
251,Spring2017,11A,5/19/2017,7/13/2017,NA,NA,0.04342175
252,Spring2017,11B,5/19/2017,7/12/2017,NA,NA,0.064349919
253,Spring2017,11C,5/22/2017,7/13/2017,NA,NA,0.054601781
254,Spring2017,11D,5/19/2017,7/10/2017,NA,NA,0.075870855
255,Spring2017,11E,5/22/2017,7/13/2017,NA,NA,0.206229335
256,Spring2017,12A,5/18/2017,7/11/2017,7/9/2017,7/11/2017,0.051039612
257,Spring2017,12B,5/19/2017,7/12/2017,NA,NA,0.060619423
258,Spring2017,12C,5/20/2017,7/10/2017,NA,NA,0.041847896
259,Spring2017,12D,5/18/2017,7/11/2017,NA,NA,0.033449415
260,Spring2017,12E,5/18/2017,7/11/2017,NA,NA,0.051377078
261,Spring2017,13A,5/19/2017,7/12/2017,NA,NA,0.032113177
262,Spring2017,13B,5/17/2017,7/10/2017,NA,NA,0.086332597
263,Spring2017,13C,5/21/2017,7/12/2017,NA,NA,0.048615593
264,Spring2017,13D,5/17/2017,7/10/2017,NA,NA,0.059392231
